"# Koht=Rank, Nimi=Name,  Riik=Nationality,  Aeg=Result (min), Trahve=Missed shots in total (penalty one minute), Ring1-Ring5= Course1-Course5 Time (skiing only, min), Lamades1=First prone shooting (Missed shots), LaskmisaegL1= Shooting time (sec), TiiruaegL1= total time in shooting range (sec),",,,,,,,,,,,,,,,,,,,,,,
"#Püsti1=First standing shooting(Missed shots),  LaskmisaegP1= Shooting time (sec),  TiiruaegP1= total time in shooting range (sec). Lamades2 and Püsti2 are second prone and standing shootings.Punkte=World Cup points",,,,,,,,,,,,,,,,,,,,,,
Koht,Nimi,Riik,Aeg,Trahve,Ring1,Ring2,Ring3,Ring4,Ring5,Lamades1,LaskmisaegL1,TiiruaegL1,Püsti1,LaskmisaegP1,TiiruaegP1,Lamades2,LaskmisaegL2,TiiruaegL2,Püsti2,LaskmisaegP2,TiiruaegP2,Punkte
1,FOURCADE Martin,FRA,51.33.8,2,9.03.3,9.04.8,9.18.8,9.33.4,8.56.1,0,26,47,2,51.2,73.8,0,27.8,50.8,0,22.6,45.7,60
2,BOE Johannes Thingnes,NOR,52.03.3,2,9.06.7,9.08.5,9.16.0,9.3.5,9.09.5,0,27.5,49.4,0,22.8,46.2,0,39.1,61.3,2,51.9,75,54
3,CHEPELIN Vladimir,BLR,52.58.1,1,9.30.3,9.42.0,10.01.1,9.52.9,9.28.8,1,33.3,51.5,0,26.9,49.5,0,30.9,54.6,0,26,47.2,48
4,BIRKELAND Lars Helge,NOR,53.44.3,3,9.24.0,9.34.8,9.29.0,9.42.8,9.15.0,1,28.2,50.9,1,24.2,47.4,1,29.9,52.9,0,22.7,46.4,43
5,BJOERNDALEN Ole Einar,NOR,53.50.5,3,9.14.0,9.15.3,9.32.7,9.44.3,9.18.4,0,34,56.4,2,34.1,57.2,0,31.4,54,1,36.4,57.8,40
6,RASTORGUJEVS Andrejs,LAT,54.02.01,3,9.21.0,9.26.4,9.29.5,9.46.1,9.07.7,1,31.9,54.8,0,32.3,54.6,0,31.4,56,2,41.4,65.7,38
7,ANEV Krasimir,BUL,54.03.1,2,9.27.8,9.37.7,9.46.7,9.36.4,9.29.6,1,37.3,60.5,1,31.1,56.3,0,35.2,60,0,42.9,67.8,36
8,GRAF Florian,GER,54.07.4,1,9.39.0,9.35.9,9.52.6,9.59.8,9.34.4,0,49.5,70,0,56.5,79.8,0,35.8,59.9,1,33.5,56.2,34
9,LINDSTROEM Fredrik,SWE,54.17.6,3,9.16.3,9.29.0,9.43.1,9.45.2,9.23.0,1,37.9,60.2,0,25.1,49,1,34.4,58.9,1,28.9,52.7,32
10,WEGER Benjamin,SUI,54.32.8,2,9.31.4,9.37.2,9.48.5,10.06.5,9.42.6,0,34.2,57.4,1,26.4,50.9,0,40.7,64.8,1,29.3,53.4,31
